Job Title,Job Description,Job Location,Gross Salary,Payroll Status,Location Type,Assignment Length,Security Clearance Status,Posted Date,Job Reference,Sector,Recruitment Agency,Recruiter Name,Recruiter Email,Logo URL,Post URL
Contract Lead JavaScript Developer,"Contract Lead JavaScript Developer Fully Remote 6 Months Outside IR35 - (£600pd - £650pd) Opus is partnered with an exciting Fin-Tech is looking to hire a Contract Lead Developer on an initial 6 month contract with a view to extend. You will be able to fully remote working for the entirety of the contract. You will be building out the payment infrastructure, dashboard and customer relationship management platform. You will also be giving technical oversight to the a team of developers and will need to have previous experience doing this in at least 2 contracts. Required: React.js Node.js Next.js GraphQL AWS Lambdas Typescript Jest If you are interested in the position please send an updated copy of your CV and day rate required I will be in touch to discuss the role in more detail.","England, United Kingdom",700 PER DAY,Outside iR35,Remote,6 months,,2023-07-26,35018452,,Opus,,,https://images.app.goo.gl/mpYma9G1K4djA5Qx7,https://www.opusrecruitmentsolutions.com/search-jobs/35018452-contract-lead-javascript-developer-job-united-kingdom-england
Azure DevOps Engineer,"Contract Azure DevOps Engineer Required Finance Sector Hybrid (Manchester 1 Day per Week) 6 Months Outside IR35 £400pd - £500pd Opus is exclusively partnered with a leading finance client based in Manchester looking to hire a Contract Azure DevOps Engineer on an initial 6 month contract with a view to extend.  This position will be hybrid, with a requirement to be on-site 1 day per week Day rate will be dependant on the skills below: Required: Azure Bicep / Terraform / ARM Templates AKS Docker / Kubernetes If you are interested in the position please send an updated copy of your CV and what rate you require and I will be in touch to discuss the role in more detail. Thanks, Ben","Manchester, United Kingdom",500 PER DAY,Outside iR35,Hybrid,6 months,,2023-07-26,35018451,,Opus,,,https://images.app.goo.gl/mpYma9G1K4djA5Qx7,https://www.opusrecruitmentsolutions.com/search-jobs/35018451-azure-devops-engineer-job-united-kingdom-manchester
AWS Cloud Engineer | Outside IR35 | 3 Months | Start-up,"AWS Cloud Engineer | Outside IR35 | 3 Months | Start-up I am partnered with Start-up company who are looking for an AWS Cloud Engineer to join their team and be part of their greenfield project. You will be joing a small team and working directly with the CTO and PM. 3 Month Contract (possible extention) Fully Remote Working (option to hybrid) Outside IR35 £400-£550 per day (experience dependant) Start-up experience required Required Skillset: Excellent AWS experience (qualifications prefered) Terraform Kubernetes (EKS,ECS or AKS) React CI/CD Pipeline experience Multicloud experience prefered If you are interested in hearing more, please send a copy of your CV to myles.menkenrick@opusrs.com Please Note, to be considered candidates must be based in the U.K and sponsorship cannot be offered with this position.","London, United Kingdom",600 PER DAY,Outside iR35,Hybrid,3 months,,2023-07-26,35018450,,Opus,myles,myles.menkenrick@opusrs.com,https://images.app.goo.gl/mpYma9G1K4djA5Qx7,https://www.opusrecruitmentsolutions.com/search-jobs/35018450-aws-cloud-engineer-outside-ir35-3-months-start-up-job-united-kingdom-london
Angular Developer | £375-£400 | Outside IR35 | Hybrid,"I'm working with a financial services client of mine based in Cardiff who are looking for an Angular Developer for a 12 month contract. The role will require you on site 1-2 times per week in Cardiff, outside ir35, £375-£400 per day. You will be involved in a brand new greenfield project mainly using Angular and Node. Essential - Angular - Node - Typescript - AWS If this is of interest please send me a latest copy of your CV ( luke.miller@opusrs.com) and I will be in contact.","Cardiff, United Kingdom",400 PER DAY,Outside iR35,Hybrid,12 months,,2023-07-26,35018449,,Opus,luke,luke.miller@opusrs.com,https://images.app.goo.gl/mpYma9G1K4djA5Qx7,https://www.opusrecruitmentsolutions.com/search-jobs/35018449-angular-developer-375-400-outside-ir35-hybrid-job-united-kingdom-cardiff
Node Developer | 6 Month Contract | £300 - £325 Outside IR35 | Hybrid,Node Developer | 6 Month Contract | £300 - £325 Outside IR35 | Hybrid My client based in Telford is looking to bring on a Node Backend Developer to complete a 6-month project with view of extension. What you will need Strong experience in Node AWS Lambda PostGres Happy to travel to Telford once a month What you need to do now If you feel like this Backend Developer contract is a good fit for you and would like to know more then please apply with your most up to date CV. Node Developer | 6 Month Contract | £300 - £325 Outside IR35 | Hybrid,"Telford, United Kingdom",400 PER DAY,Outside iR35,Hybrid,6 months,,2023-07-26,35018448,,Opus,,,https://images.app.goo.gl/mpYma9G1K4djA5Qx7,https://www.opusrecruitmentsolutions.com/search-jobs/35018448-node-developer-6-month-contract-300-325-outside-ir35-hybrid-job-united-kingdom-telford
WordPress Developer - Contract,"WordPress Developer - Contract - Outside IR35 Day Rate - £200-£250 Contract Duration - 12 months 1/2 days onsite in Kent A Digital Agency we work with, has reached out looking for a WordPress developer to join them on a contract. It will require 1/2 days on site in Kent. Requirements: Wordpress Woocommerce 2 days onsite a week in Kent Must have a right to work in the UK. Please apply with CV.","Kent, United Kingdom",300 PER DAY,Outside iR35,Onsite,12 months,,2023-07-26,35018444,,Opus,,,https://images.app.goo.gl/mpYma9G1K4djA5Qx7,https://www.opusrecruitmentsolutions.com/search-jobs/35018444-wordpress-developer-contract-job-united-kingdom-kent
SC User Researcher - £600 Inside ir35 - 6 months contract,"We are currently seeking a highly skilled User Researcher with SC clearance and GDS (Government Digital Service) experience for a 6-month contract assignment (Inside IR35) with one of our esteemed public sector client. As a User Researcher, you will have the opportunity to contribute to critical projects while providing valuable insights to enhance user experiences within the public sector. Responsibilities: Conduct user research activities, including interviews, surveys, and usability testing, following GDS guidelines and best practices. Analyse research data to extract meaningful findings and recommendations, aligning with GDS standards. Collaborate closely with cross-functional teams to ensure user-centred design practices, in line with GDS principles. Develop research plans, protocols, and reports that meet GDS requirements and documentation standards. Stay up to date with the latest user research methodologies and tools endorsed by GDS. Requirements: Proven experience as a User Researcher, specifically within GDS projects, in a fast-paced environment. Active SC clearance (Security Check). In-depth knowledge of GDS guidelines, standards, and best practices for user research. Proficiency in user research techniques (interviews, surveys, usability testing) following GDS principles. Strong analytical and problem-solving skills. Excellent communication and collaboration abilities. Bachelor's or master's degree in human-computer interaction, psychology, or related field preferred. This 6-month contract position is outside IR35, offering competitive compensation for your valuable contributions. To apply, please submit your CV. Note: Only candidates with active SC clearance and GDS experience will be considered for this contract role within the public sector.","London, United Kingdom",600 PER DAY,Outside iR35,Hybrid,6 months,SC Clearance Required,2023-07-25,35018289,,Opus,,,https://images.app.goo.gl/mpYma9G1K4djA5Qx7,https://www.opusrecruitmentsolutions.com/search-jobs/35018289-sc-user-researcher-600-inside-ir35-6-months-contract-job-united-kingdom-london
Vue Fullstack Developer | 6 Month Contract | £350 - £400 Outside IR35 | Hybrid,Vue Fullstack Developer | 6 Month Contract | £350 - £400 Outside IR35 | Hybrid Remote My client based in Nottingham is looking to bring on a Vue Developer to complete a 6-month project with view of extension. What you will need A Deep understanding of Vue Experience in AWS Experience in Terraform Golang is beneficial Happy to travel to Nottingham once or twice a month What you need to do now If you feel like this Vue Developer contract is a good fit for you and would like to know more then please apply with your most up to date CV. Vue Fullstack Developer | 6 Month Contract | £350 - £400 Outside IR35 | Hybrid Remote,"Nottingham, United Kingdom",400 PER DAY,Outside iR35,Hybrid,6 months,,2023-07-25,35018281,,Opus,,,https://images.app.goo.gl/mpYma9G1K4djA5Qx7,https://www.opusrecruitmentsolutions.com/search-jobs/35018281-vue-fullstack-developer-6-month-contract-350-400-outside-ir35-hybrid-job-united-kingdom-nottingham
AWS DevOps Engineer - 2 Months - Outside IR35 - Fully Remote,"DevOps Engineer | Outside IR35 | I am partnered with an company who are looking for DevOps Engineer to join their team and be part of an on going project. You will be joing a team with a great culture and will be responsible for the ongoing improvements and groth within the business platform 2 Month Contract Fully Remote Working Outside IR35 £300-£350 per day Required Skillset: Excellent AWS experience Kubernetes (EKS,ECS or AKS) CI/CD Pipeline experience If you are interested in hearing more, please send a copy of your CV to myles.menkenrick@opusrs.com Please Note, to be considered candidates must be based in the U.K and sponsorship cannot be offered with this position.","London, United Kingdom",400 PER DAY,Outside iR35,Remote,2 months,,2023-07-25,35018243,,Opus,myles,myles.menkenrick@opusrs.com,https://images.app.goo.gl/mpYma9G1K4djA5Qx7,https://www.opusrecruitmentsolutions.com/search-jobs/35018243-aws-devops-engineer-2-months-outside-ir35-fully-remote-job-united-kingdom-london
.NET Developer,".NET Developer / 3 month rolling contract / Hampshire (Hybrid working) / £300 to £400 per day (Outside IR35) I am currently looking for a contract .NET Developer to join a growing client of ours on a initial 3 month contract. This has been determined outside IR35 and will require you to go on-site once per week in Hampshire (SO). Skills & Experience being assessed: .NET development Angular API, UI experience It is essential that you are able to go on site at least once per week, so please consider this before applying. We are looking to start someone within the next 2 weeks, so able to move quickly. If interested, please apply with your latest CV and if suitable, I will be in touch to discuss in more detail. Please note all rates from suitable candidates will be considered.","Hampshire, United Kingdom",400 PER DAY,Outside iR35,Hybrid,3 months,,2023-07-25,35018213,,Opus,,,https://images.app.goo.gl/mpYma9G1K4djA5Qx7,https://www.opusrecruitmentsolutions.com/search-jobs/35018213-net-developer-job-united-kingdom-hampshire
Senior iOS Developer - Outside of IR-35,"Senior iOS Developer - Outside of IR-35 i have partnered with a Digital Agency who are on the lookout for 1 iOS (Swift) developer to join the team for a 3-6 month contract. They are due to start the project W/C 7th and the end client is in the VOD space. Experience Extensive Swift experience SDK Experience (Beneficial) Rate £400-500 Per day If this sounds of interest & you are available to start a new contract on W/C 7th, please do reach out. Senior iOS Developer - Outside of IR-35","London, United Kingdom",500 PER DAY,Outside iR35,Onsite,6 months,,2023-07-25,35018186,,Opus,,,https://images.app.goo.gl/mpYma9G1K4djA5Qx7,https://www.opusrecruitmentsolutions.com/search-jobs/35018186-senior-ios-developer-outside-of-ir-35-job-united-kingdom-london
Azure DevOps Engineer,"Azure DevOps Engineer Required Remote (Manchester 1 Days per Month) 6 Months Outside IR35 £500pd - £600pd Opus is exclusively partnered with a digital agency looking to hire a Contract Azure DevOps Engineer on an initial 6 month contract with a view to extend.  This position will be mainly remote, but will be the requirement to go into the Machester office 1 day per month, for the candidate to be succesful this must be achieveable. Day rate will be dependant on the skills below: Required: Azure Bicep / Terraform / ARM Templates AKS Docker / Kubernetes Powershell If you are interested in the position please send an updated copy of your CV and what rate you require and I will be in touch to discuss the role in more detail. Thanks, Ben","Manchester, United Kingdom",600 PER DAY,Outside iR35,Remote,6 months,,2023-07-24,35018180,,Opus,,,https://images.app.goo.gl/mpYma9G1K4djA5Qx7,https://www.opusrecruitmentsolutions.com/search-jobs/35018180-azure-devops-engineer-job-united-kingdom-manchester
